baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABHD13	322.629413069636	-0.0847734022432346	0.0353853549317638	-2.39571999225978	0.0165877567254896	0.063195579297041
ABHD14A	524.927000592388	0.0997608628643386	0.0491041521115217	2.03161766519803	0.0421923769342939	0.120249315021912
ABHD14A-ACY1	0.65588605817184	-0.0156923706172494	0.157436319626414	-0.0996743994936261	0.92060282555067	0.955272875680677
ABHD14B	311.945873569139	0.0994804379430903	0.0482358032801712	2.06237755314805	0.0391718046759497	0.114117758755906
ABHD15	114.946353712272	0.0955352155109	0.0398815158998498	2.39547603332851	0.0165987993598977	0.0631972301639689
ABHD16A	17.2732574549278	-0.0560692577143524	0.0533418746608629	-1.05113024374996	0.293198775381233	0.460166291927496
ABHD17A	3676.01923276314	0.124276697214248	0.0567201487980325	2.19105026781169	0.0284481550188333	0.0915741037576893
ABHD17B	508.743531381063	-0.0171109912669893	0.0312685642796613	-0.547226636757326	0.58422303840916	0.731640254257471
ABHD17C	447.579467372887	0.029069251711932	0.031284213578403	0.929198735940096	0.352786102413329	0.522799139882463
ABHD2	2567.06083187336	-0.0729463390034575	0.0368824758419705	-1.97780483381888	0.0479507279787493	0.131311567577435
ABHD3	212.330769044705	0.00211893447568602	0.0458685687678023	0.046195783574861	0.963154203108673	0.979142743669428
ABHD4	436.671049405347	0.0709901132379876	0.0501957865608933	1.41426438555492	0.157284289695358	0.302272568719257
ABHD5	124.707974453047	-0.0386103280091962	0.0458988305721834	-0.84120504875337	0.400233072612708	0.569728080611978
ABHD6	564.920262384863	0.0326919674756173	0.0198399006707312	1.64778886841133	0.099396004085363	0.21958344764862
ABHD8	2315.88721539589	0.0582428899681884	0.0441020398988776	1.32063936502109	0.186621640644888	0.339382037197387
ABI1	1223.73577161444	-0.0568121533629177	0.03082120849415	-1.84328117353675	0.0652879684363838	0.163495339442081
ABI2	3646.2304634487	-0.107953849561322	0.0246898800342626	-4.37239263258924	1.22892257845757e-05	0.000581925060307327
ABI3	86.1042915156769	0.0866584700429966	0.062798448209031	1.37994604189175	0.167603258965218	0.316144109830888
ABI3BP	31.2940555247134	-0.00388931032979423	0.0660538961412558	-0.058880861796206	0.953047001674614	0.973298457964582
ABL1	1252.0738612653	0.0974782539719009	0.0285643997063737	3.41257841837824	0.00064351409294517	0.00729143578097459
ABL2	1109.27175699401	-0.0170700963670154	0.0324659700314585	-0.525784270436861	0.599038104661364	0.741513419890443
